ON-OAT002-01-A07__C_LepFolF_C_LepFolR|OTU1|reads-2	HEQT113-08|BOLD:AAG4400|Arthropoda|Insecta|Hemiptera|5	87.1	660	83	2	1	660	1	658	-1	0
ON-OAT002-01-A04__C_LepFolF_C_LepFolR|OTU0|reads-6	INCOL1646-16|BOLD:ADD1638|Arthropoda|Insecta|Lepidoptera|5	92.2	658	51	0	1	658	1	658	-1	0
ON-OAT002-01-A03__C_LepFolF_C_LepFolR|OTU0|reads-8	INCOL1646-16|BOLD:ADD1638|Arthropoda|Insecta|Lepidoptera|5	92.4	658	50	0	1	658	1	658	-1	0
ON-OAT002-01-A11__C_LepFolF_C_LepFolR|OTU0|reads-2	ANICW1452-11|BOLD:AAW4766|Arthropoda|Insecta|Lepidoptera|5	89.3	662	67	2	1	662	1	658	-1	0
ON-OAT002-01-A10__C_LepFolF_C_LepFolR|OTU0|reads-8	OBLAT023-19|BOLD:AEA9495|Arthropoda|Insecta|Blattodea|5	88.9	658	73	0	1	658	1	658	-1	0
ON-OAT002-01-A07__C_LepFolF_C_LepFolR|OTU0|reads-6	PERAJ7019-25|BOLD:AGY2052|Arthropoda|Insecta|Diptera|5	81.5	664	120	1	1	664	1	661	-1	0
ON-OAT002-01-B02__C_LepFolF_C_LepFolR|OTU0|reads-6	LPMDD29198-25|BOLD:AGN2567|Arthropoda|Insecta|Coleoptera|5	79.8	658	133	0	1	658	1	658	-1	0
ON-OAT002-01-B01__C_LepFolF_C_LepFolR|OTU0|reads-3	OPPCI139-17|BOLD:ADI4942|Arthropoda|Insecta|Hymenoptera|5	82.4	658	114	2	1	656	1	658	-1	0
ON-OAT002-01-A02__C_LepFolF_C_LepFolR|OTU0|reads-6	ANIAE178-11|BOLD:ABV4804|Arthropoda|Insecta|Lepidoptera|5	87.1	658	84	1	1	657	1	658	-1	0
ON-OAT002-01-A06__C_LepFolF_C_LepFolR|OTU0|reads-10	AMRNA1125-25|BOLD:ACP8282|Arthropoda|Insecta|Coleoptera|5	90.9	658	60	0	1	658	1	658	-1	0
ON-OAT002-01-A08__C_LepFolF_C_LepFolR|OTU0|reads-3	PHAUS101-25|BOLD:AGQ4665|Arthropoda|Insecta|Hemiptera|5	99.7	658	2	0	1	658	1	658	-1	0
ON-OAT002-01-A05__C_LepFolF_C_LepFolR|OTU0|reads-7	ANIAD372-11|BOLD:AGC4648|Arthropoda|Insecta|Lepidoptera|5	92.1	658	51	1	1	657	1	658	-1	0
ON-OAT002-01-B03__C_LepFolF_C_LepFolR|OTU0|reads-8	LOQTH006-10|BOLD:AAM8219|Arthropoda|Insecta|Lepidoptera|5	93.5	658	43	0	1	658	1	658	-1	0
ON-OAT002-01-B05__C_LepFolF_C_LepFolR|OTU0|reads-7	IBLPY313-12|BOLD:ABW7364|Arthropoda|Insecta|Lepidoptera|5	92.2	658	51	0	1	658	1	658	-1	0
ON-OAT002-01-A09__C_LepFolF_C_LepFolR|OTU0|reads-9	BGENL715-24|BOLD:AGE0671|Arthropoda|Insecta|Diptera|5	92.4	658	50	0	1	658	1	658	-1	0
ON-OAT002-01-B06__C_LepFolF_C_LepFolR|OTU0|reads-10	INCOL1646-16|BOLD:ADD1638|Arthropoda|Insecta|Lepidoptera|5	92.2	658	51	0	1	658	1	658	-1	0
ON-OAT002-01-B10__C_LepFolF_C_LepFolR|OTU0|reads-6	ANIAE178-11|BOLD:ABV4804|Arthropoda|Insecta|Lepidoptera|5	87.2	658	84	0	1	658	1	658	-1	0
ON-OAT002-01-B11__C_LepFolF_C_LepFolR|OTU0|reads-2	ANIAE178-11|BOLD:ABV4804|Arthropoda|Insecta|Lepidoptera|5	87.2	658	84	0	1	658	1	658	-1	0
ON-OAT002-01-B08__C_LepFolF_C_LepFolR|OTU0|reads-2	CRBOH12330-24|BOLD:AEB7880|Arthropoda|Insecta|Diptera|5	80.7	658	127	0	1	658	1	658	-1	0
ON-OAT002-01-C03__C_LepFolF_C_LepFolR|OTU0|reads-4	AMRNB095-25|BOLD:ACQ9652|Arthropoda|Insecta|Hemiptera|5	99.1	658	6	0	1	658	1	658	-1	0
ON-OAT002-01-B04__C_LepFolF_C_LepFolR|OTU0|reads-6	AMRNB112-25|BOLD:ACP8113|Arthropoda|Insecta|Hymenoptera|5	100.0	658	0	0	1	658	1	658	-1	0
ON-OAT002-01-B07__C_LepFolF_C_LepFolR|OTU0|reads-4	CRSEA14121-23|BOLD:ADL8189|Arthropoda|Insecta|Diptera|5	81.2	659	123	1	1	660	1	658	-1	0
ON-OAT002-01-C01__C_LepFolF_C_LepFolR|OTU0|reads-6	NSWHA2628-23|BOLD:AFF0437|Arthropoda|Insecta|Diptera|5	99.4	659	3	1	1	659	1	658	-1	0
ON-OAT002-01-C07__C_LepFolF_C_LepFolR|OTU0|reads-9	BGENL715-24|BOLD:AGE0671|Arthropoda|Insecta|Diptera|5	91.9	658	53	0	1	658	1	658	-1	0
ON-OAT002-01-C09__C_LepFolF_C_LepFolR|OTU0|reads-2	PERAJ7019-25|BOLD:AGY2052|Arthropoda|Insecta|Diptera|5	81.1	671	117	4	1	671	1	661	-1	0
ON-OAT002-01-C05__C_LepFolF_C_LepFolR|OTU0|reads-5	ANIAD376-11|BOLD:ABU9744|Arthropoda|Insecta|Lepidoptera|5	92.2	658	51	0	1	658	1	658	-1	0
ON-OAT002-01-B12__C_LepFolF_C_LepFolR|OTU0|reads-8	AMRNA1125-25|BOLD:ACP8282|Arthropoda|Insecta|Coleoptera|5	90.9	658	60	0	1	658	1	658	-1	0
ON-OAT002-01-C06__C_LepFolF_C_LepFolR|OTU0|reads-5	ANIAD376-11|BOLD:ABU9744|Arthropoda|Insecta|Lepidoptera|5	92.2	658	51	0	1	658	1	658	-1	0
ON-OAT002-01-C02__C_LepFolF_C_LepFolR|OTU0|reads-5	ANIAE178-11|BOLD:ABV4804|Arthropoda|Insecta|Lepidoptera|5	87.1	658	84	1	1	657	1	658	-1	0
ON-OAT002-01-C10__C_LepFolF_C_LepFolR|OTU0|reads-7	TGMHB1359-24|BOLD:AFY5842|Arthropoda|Insecta|Hemiptera|5	86.6	658	88	0	1	658	1	658	-1	0
